CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
172X-10,PQ. NOVO MUNDO – METRÔ TATUAPÉ,PQ. NOVO MUNDO – METRÔ TATUAPÉ,MANTIDA
172Y-10,VL. CONSTANÇA – METRÔ BELÉM,VL. CONSTANÇA – METRÔ BELÉM,MANTIDA
1730-10,CENTER NORTE – SANTANA,CENTER NORTE – SANTANA,MANTIDA
1732-10,VL. SABRINA – METRÔ STA. CECÍLIA,VL. SABRINA – METRÔ SANTANA,CORTADA
1738-10,VL. CONSTANÇA – METRÔ SANTANA,VL. CONSTANÇA – METRÔ SANTANA,MANTIDA
1741-10,VL. DIONISIA – METRÔ SANTANA,VL. DIONISIA – METRÔ SANTANA,MANTIDA
1742-10,JD. ANTÁRTICA – METRÔ SANTANA,JD. ANTÁRTICA – METRÔ SANTANA,MANTIDA
1743-10,JD. PERY ALTO – SHOP. D,JD. PERY ALTO – SHOP. D,MANTIDA
1744-10,LAUZANE PAULISTA – METRÔ SANTANA,LAUZANE PAULISTA – METRÔ SANTANA,MANTIDA
1745-10,VL.NOVA CACHOEIRINHA – SHOP. CENTER NORTE,VL.NOVA CACHOEIRINHA – SHOP. CENTER NORTE,MANTIDA
174M-10,JD. BRASIL – MUSEU DO IPIRANGA,JD. BRASIL – LARGO DA CONCÓRDIA,CORTADA
1756-10,PEDRA BRANCA – METRÔ SANTANA,VL. SULINA – TERM. JD. BRITÂNIA,CORTADA
1756-10,PEDRA BRANCA – METRÔ SANTANA,PEDRA BRANCA – METRÔ SANTANA,CORTADA
1757-10,CONJ. DOS BANCÁRIOS – METRÔ SANTANA – CIRCULAR,CONJ. DOS BANCÁRIOS – METRÔ SANTANA,MANTIDA
1758-10,JD. ANTÁRTICA – METRÔ SANTANA,JD. ANTÁRTICA – METRÔ SANTANA,MANTIDA
1759-10,JD. PERY – METRÔ SANTANA,JD. PERY – METRÔ SANTANA,MANTIDA
175P-10,METRÔ SANTANA – ANA ROSA,METRÔ SANTANA – METRÔ ANA ROSA,CORTADA
175T-10,METRÔ SANTANA – METRÔ JABAQUARA,METRÔ SANTANA – JD. AEROPORTO,CORTADA
1760 – 10,COHAB ANTÁRTICA – SHOP. CENTER NORTE,COHAB ANTÁRTICA – SHOP. CENTER NORTE,MANTIDA
1765-10,JD. CABUÇU – METRÔ TUCURUVI,JD. CABUÇU – METRÔ TUCURUVI,MANTIDA
1767-10,EDÚ CHAVES – METRÔ TUCURUVI,EDÚ CHAVES – METRÔ TUCURUVI,MANTIDA
1771-10,VL. ZILDA – METRÔ SANTANA,,EXTINTA
1772-10,JD. FILHOS DA TERRA – METRÔ TUCURUVI,JD. FILHOS DA TERRA – METRÔ TUCURUVI,MANTIDA
1773-10,CEM. PQ. DOS PINHEIROS – MANDAQUI,CEM. PQ. DOS PINHEIROS – CONEXÃO TREMEMBÉ,CORTADA
1775-10,VL. ALBERTINA – SHOP. CENTER NORTE,VL. ALBERTINA – SHOP. CENTER NORTE,MANTIDA
177H-10,METRÔ SANTANA – CID. UNIVERSITÁRIA,METRÔ SANTANA – TERM. PINHEIROS,CORTADA
177Y-10,METRÔ BARRA FUNDA – PINHEIROS,METRÔ BARRA FUNDA – PINHEIROS,MANTIDA
1780-10,JD. HEBRON – TERM. PARADA INGLESA,JD. HEBRON – TERM. PARADA INGLESA,MANTIDA
