CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
2731-10,VL. PROGRESSO – METRÔ ITAQUERA,VL. PROGRESSO – METRÔ ITAQUERA,MANTIDA
2732-10,METRÔ ARTUR ALVIM – VL. REGINA,METRÔ ARTUR ALVIM – VL. REGINA,MANTIDA
2733-10,PQ. GUARANI – METRÔ ITAQUERA,PQ. GUARANI – METRÔ ITAQUERA,MANTIDA
2734-10,JD. CAMPOS – METRÔ ITAQUERA,JD. CAMPOS – METRÔ ITAQUERA,MANTIDA
2735-10,JD. KERALUX – METRÔ PENHA,JD. KERALUX – METRÔ PENHA,MANTIDA
2735-21,JD. SÃO FRANCISCO – METRÔ PENHA,JD. SÃO FRANCISCO – METRÔ PENHA,MANTIDA
273D-10,PQ. D. JOÃO NERY – METRÔ ARTUR ALVIM,,EXTINTA
273F-10,VL. MARA – METRÔ ITAQUERA,,EXTINTA
273G-10,JD. HELENA – METRÔ ARTUR ALVIM,JD. HELENA – METRÔ ARTUR ALVIM,MANTIDA
273G-21,JD. NOÊMIA – METRÔ ARTUR ALVIM,JD. NOÊMIA – METRÔ ARTUR ALVIM,MANTIDA
273J-10,JD. ROMANO – METRÔ PENHA,TERM. A. E. CARVALHO – METRÔ PENHA,CORTADA
273J-10,JD. ROMANO – METRÔ PENHA,JD. ROMANO – TERM. A. E. CARVALHO,CORTADA
273L-10,CPTM JOSÉ BONIFÁCIO – METRÔ ARTUR ALVIM,CPTM JOSÉ BONIFÁCIO – METRÔ ARTUR ALVIM,MANTIDA
273N-10,CID. KEMEL II – METRÔ VL. MATILDE,CID. KEMEL II – TERM. A. E. CARVALHO,CORTADA
273N-41,ITAIM PAULISTA – METRÔ VL. MATILDE,ITAIM PAULISTA – CPTM SÃO MIGUEL,CORTADA
273R-10,JD. ROBRU – METRÔ ARTUR ALVIM,JD. ROBRU – METRÔ ARTUR ALVIM,MANTIDA
273R-42,JD. ROBRU – METRÔ ITAQUERA,,EXTINTA
273V-10,PARADA XV DE NOVEMBRO – METRÔ PENHA,PARADA XV DE NOVEMBRO – METRÔ ITAQUERA,MANTIDA
273X-10,JD. DAS OLIVEIRAS – METRÔ ARTUR ALVIM,JD. DAS OLIVEIRAS – METRÔ ARTUR ALVIM,MANTIDA
2740-10,PEDRA BRANCA – METRÔ SANTANA,PEDRA BRANCA – METRÔ SANTANA,MANTIDA
274P-10,PENHA – METRÔ VL. MARIANA,CONCÓRDIA – METRÔ VL. MARIANA,CORTADA
2755-10,GUAIANAZES – METRÔ PENHA,,EXTINTA
2756-10,GUAIANAZES – METRÔ PATRIARCA,GUAIANAZES – TERM. A. E. CARVALHO,CORTADA
2762-10,ERMELINO MATARAZZO – METRÔ TATUAPÉ,ERMELINO MATARAZZO – METRÔ TATUAPÉ,MANTIDA
2765-10,VL. CISPER – METRÔ TATUAPÉ,VL. CISPER – METRÔ TATUAPÉ,MANTIDA
2766-10,JD. CAMARGO VELHO – METRÔ ITAQUERA,JD. CAMARGO VELHO – METRÔ ITAQUERA,MANTIDA
2766-41,JD. INDAIÁ – METRÔ ITAQUERA,,EXTINTA
2767-10,CID. PEDRO JOSÉ NUNES – METRÔ TATUAPÉ,CID. PEDRO JOSÉ NUNES – CPTM ERMELINO,MANTIDA
2769-10,JD. ROMANO – METRÔ TATUAPÉ,,EXTINTA
2770-10,CPTM JOSÉ BONIFÁCIO – METRÔ VL. MATILDE,,EXTINTA
2772-10,JD. NAZARÉ – METRÔ PENHA,JD. NAZARÉ – METRÔ PENHA,MANTIDA
2780-10,JD. CAMARGO NOVO – METRÔ ITAQUERA,JD. CAMARGO NOVO- METRÔ ITAQUERA,MANTIDA
278A-10,METRÔ SANTANA – PENHA,,EXTINTA
297A-10,LIMÃO – METRÔ BARRA FUNDA,LIMÃO – METRÔ BARRA FUNDA,MANTIDA
3001-10,ITAIM PAULISTA – TERM. SÃO MIGUEL,ITAIM PAULISTA – TERM. SÃO MIGUEL,MANTIDA
3002-10,JD. MABEL – SÃO MIGUEL,JD. MABEL – SÃO MIGUEL,MANTIDA
3003-10,JD. SÃO MARTINHO – CPTM VL. MARA/ITAIM,JD. SÃO MARTINHO – CPTM VL. MARA/ITAIM,MANTIDA
3004-10,JD. SÃO MARTINHO – CPTM VL. MARA/ITAIM,JD. SÃO MARTINHO – CPTM VL. MARA/ITAIM,MANTIDA
3006-10,JD. FANGANIELO – CPTM GUAIANAZES,JD. FANGANIELO – CPTM GUAIANAZES,MANTIDA
3013-10,TERM. CID. TIRADENTES – METALÚRGICOS,TERM. CID. TIRADENTES – METALÚRGICOS,MANTIDA
3015-10,JD. ROMANO – JD. MABEL,JD. ROMANO – JD. MABEL,MANTIDA
3019-10,TERM. CID. TIRADENTES – VL. PAULISTA I,TERM. CID. TIRADENTES – VL. PAULISTA I,MANTIDA
3020-10,VL. COSMOPOLITA – SHOP. ARICANDUVA,,EXTINTA
3021-10,PQ. BANCÁRIO – VL. PRUDENTE,PQ. BANCÁRIO – VL. PRUDENTE,MANTIDA
3023-10,SHOP. ARICANDUVA – PQ. SÃO RAFAEL,,EXTINTA
3024-10,VL. INDUSTRIAL – VL. PRUDENTE,VL. INDUSTRIAL – VL. PRUDENTE,MANTIDA
3025-10,JD. WILMA FLOR – CPTM GUAIANAZES,JD. WILMA FLOR – CPTM GUAIANAZES,MANTIDA
3026-10,VL. IOLANDA II – CPTM GUAIANAZES,VL. IOLANDA II – CPTM GUAIANAZES,MANTIDA
3027-10,VL. MINERVA – SHOP. ARICANDUVA,,EXTINTA
3029-10,JD. DAS ROSAS – METRÔ TATUAPÉ,JD. DAS ROSAS – METRÔ TATUAPÉ,MANTIDA
3031-10,JD. ALTO PAULISTANO – METRÔ ITAQUERA,JD. ALTO PAULISTANO – METRÔ ITAQUERA,MANTIDA
3032-10,TERM. VL. CARRÃO – CIRCULAR,TERM. VL. CARRÃO – CIRCULAR,MANTIDA
3033-10,GUAIANAZES – SÃO MATEUS,,EXTINTA
3046-10,VL. GUARANI – METRÔ TATUAPÉ,VL. GUARANI – METRÔ TATUAPÉ,MANTIDA
3051-10,ERMELINO MATARAZZO – TERM. A. E. CARVALHO,ERMELINO MATARAZZO – METRÔ ITAQUERA,CORTADA
3053-10,JD. ITÁPOLIS – METRÔ BELÉM,JD. ITÁPOLIS – METRÔ BELÉM,MANTIDA
3054-10,JD. PALANQUE – HOSP. SAPOPEMBA,JD. PALANQUE – CIRCULAR,CORTADA
3054-10,JD. PALANQUE – HOSP. SAPOPEMBA,TERM. SAPOPEMBA – SÃO MATEUS (VIA JD. TIETÊ),CORTADA
3063-10,GUAIANAZES – TERM. SÃO MATEUS,GUAIANAZES – TERM. SÃO MATEUS,MANTIDA
3063-41,GUAIANAZES – TERM. SÃO MATEUS,,EXTINTA
3064-10,CID. TIRADENTES – CPTM GUAIANAZES,METALÚRGICOS – CPTM GUAIANAZES,CORTADA
3064-41,TERM. CID. TIRADENTES – STA. ETELVINA II B6,TERM. CID. TIRADENTES – STA. ETELVINA II B6,MANTIDA
3064-41,TERM. CID. TIRADENTES – STA. ETELVINA II B6,,MANTIDA
3069-10,JD. RECANTO VERDE SOL – TERM. SÃO MATEUS,JD. RECANTO VERDE SOL – TERM. SÃO MATEUS,MANTIDA
307C-10,CONJ. ENCOSTA NORTE – METRÔ ARTUR ALVIM,CONJ. ENCOSTA NORTE – METRÔ ARTUR ALVIM,MANTIDA
3098-10,JD. SÃO FRANCISCO – SHOP. ARICANDUVA,JD. SÃO FRANCISCO – SHOP. ARICANDUVA,MANTIDA
3099-10,HOSP. SÃO MATEUS – JD. DA CONQUISTA,HOSP. SÃO MATEUS – JD. DA CONQUISTA,MANTIDA
3112-10,VL. INDUSTRIAL – METRÔ BELÉM,VL. INDUSTRIAL – TERM. VL. PRUDENTE,CORTADA
311C-10,PQ. SÃO LUCAS – BOM RETIRO,PQ. SÃO LUCAS – TERM. PRINC. ISABEL,CORTADA
312N-10,TERM. CID. TIRADENTES – SÃO MIGUEL PAULISTA,TERM. CID. TIRADENTES – SÃO MIGUEL PAULISTA,MANTIDA
3134-10,SHOP. ARICANDUVA – METRÔ TAMANDUATEÍ,"SHOP.
ARICANDUVA – METRÔ TAMANDUATEÍ",MANTIDA
3139-10,JD. VL. FORMOSA – PÇA. JOÃO MENDES,JD. VL. FORMOSA – PÇA. DA REPÚBLICA,CORTADA
3139-31,JD. VL. FORMOSA – PÇA. DA REPÚBLICA,,EXTINTA
3141-10,SÃO MATEUS – TERM. PQ. D. PEDRO II,SÃO MATEUS – TERM. PQ. D. PEDRO II,MANTIDA
314J-10,PQ. STA. MADALENA – PÇA. ALMEIDA JR.,TERM. VL. PRUDENTE – PÇA. ALMEIDA JR,CORTADA
314J-10,PQ. STA. MADALENA – PÇA. ALMEIDA JR.,PQ. STA. MADALENA – TERM. VL. PRUDENTE,CORTADA
314V-10,VL. EMA – PÇA. ALMEIDA JR.,,EXTINTA
3160-10,TERM. VL. PRUDENTE – TERM. PQ. D. PEDRO II,TERM. VL. PRUDENTE – TERM. PQ. D. PEDRO II,MANTIDA
3161-10,JD. COLORADO – TERM. PQ. D. PEDRO II,JD. COLORADO – TERM. PQ. D. PEDRO II,MANTIDA
3206-10,METRÔ PENHA – CONJ. CHAPARRAL,METRÔ PENHA – CONJ. CHAPARRAL,MANTIDA
3301-10,TERM. SÃO MIGUEL – TERM. PQ. D. PEDRO II,TERM. SÃO MIGUEL – TERM. PQ. D. PEDRO II,MANTIDA
3390-10,SÃO MATEUS – TERM. PQ. D. PEDRO II,SÃO MATEUS – TERM. PQ. D. PEDRO II,MANTIDA
3414-10,VL. DALILA – TERM. PQ. D. PEDRO II,VL. DALILA – TERM. PQ. D. PEDRO II,MANTIDA
342C-10,JD. MARÍLIA – PENHA,JD. MARÍLIA – PENHA,MANTIDA
342M-10,TERM. SÃO MATEUS – TERM. PENHA,TERM. SÃO MATEUS – TERM. PENHA,MANTIDA
342N-10,COHAB PRES. JUSCELINO KUBITSCHECK – E.T. ITAQUERA,COHAB PRES. JUSCELINO KUBITSCHECK – E.T. ITAQUERA,MANTIDA
3459-10,ITAIM PAULISTA – TERM. PQ. D. PEDRO II,ITAIM PAULISTA – TERM. PQ. D. PEDRO II,MANTIDA
3459-21,CEM. DA SAUDADE – TERM. PQ. D. PEDRO II,,EXTINTA
3459-23,METRÔ BRESSER – ITAIM PAULISTA,,EXTINTA
3459-24,ITAIM PAULISTA – TERM. PQ. D. PEDRO II,METRÔ BRESSER – ITAIM PAULISTA,CORTADA
3462-10,VL. SANTANA – METRÔ TATUAPÉ,VL. SANTANA – METRÔ VL. MATILDE,CORTADA
3462-41,JD. VL. NOVA – METRÔ TATUAPÉ,JD. VL. NOVA – METRÔ TATUAPÉ,MANTIDA
351F-10,"JAÇANÃ
– TERM. VL. CARRÃO",TERM. VL. CARRÃO – BELENZINHO,CORTADA
352A-10,JD. HELENA – TERM. SÃO MATEUS,,EXTINTA
3539-10,CID. TIRADENTES – METRÔ BRESSER,TERM. CID. TIRADENTES – METRÔ ITAQUERA,CORTADA
354M-10,TERM. SÃO MIGUEL – TERM. SÃO MATEUS,,EXTINTA
364A-10,HOSP. IPIRANGA – SHOP. ARICANDUVA,TERM. SAPOPEMBA – SHOP. ARICANDUVA,CORTADA
3686-10,JD. SÃO PAULO – TERM. PQ. D. PEDRO II,JD. SÃO PAULO – TERM. PQ. D. PEDRO II,MANTIDA
3712-10,JD. SÃO JOÃO – METRÔ ITAQUERA,JD. SÃO JOÃO – METRÔ ITAQUERA,MANTIDA
3718-10,METRÔ ARTUR ALVIM – NOVA AMERICA,METRÔ ARTUR ALVIM – NOVA AMERICA,MANTIDA
3721-10,SHOP. ARICANDUVA – METRÔ ARTUR ALVIM,SHOP. ARICANDUVA – METRÔ ARTUR ALVIM,MANTIDA
3721-41,SHOP. ARICANDUVA – METRÔ ITAQUERA,SHOP. ARICANDUVA – METRÔ ITAQUERA,MANTIDA
3722-10,COHAB JOSÉ BONIFÁCIO – METRÔ PENHA,,EXTINTA
3725-10,METRÔ VL. MATILDE – VL. DALILA,METRÔ VL. MATILDE – VL. DALILA,MANTIDA
3725-41,METRÔ VL. MATILDE – VL. ARICANDUVA,METRÔ VL. MATILDE – VL. ARICANDUVA,MANTIDA
3728-10,METRÔ ARTUR ALVIM – PQ. SAVOY CITY,METRÔ ARTUR ALVIM – PQ. SAVOY CITY,MANTIDA
3728-41,METRÔ ARTUR ALVIM – PQ. NOVA SAVOY,METRÔ ARTUR ALVIM – PQ. NOVA SAVOY,MANTIDA
3729-10,SHOP. ARICANDUVA – METRÔ CARRÃO,SHOP. ARICANDUVA – METRÔ CARRÃO,MANTIDA
372F-10,UNIV. SÃO JUDAS TADEU – METRÔ BRESSER,UNIV. SÃO JUDAS TADEU – METRÔ BRESSER,MANTIDA
372U-10,VL. STA. ISABEL – METRÔ TATUAPÉ,VL. STA. ISABEL – METRÔ TATUAPÉ,MANTIDA
3731-10,SHOP. ARICANDUVA – METRÔ VL. MATILDE,SHOP. ARICANDUVA – METRÔ VL. MATILDE,MANTIDA
3732-10,CPTM JOSÉ BONIFÁCIO – METRÔ ITAQUERA,CPTM JOSÉ BONIFÁCIO – METRÔ ITAQUERA,MANTIDA
3734-10,CID. LIDER – METRÔ ARTUR ALVIM,CID. LIDER – METRÔ ARTUR ALVIM,MANTIDA
3735-10,METRÔ ARTUR ALVIM – JD. SÃO JOÃO,METRÔ ARTUR ALVIM – JD. SÃO JOÃO,MANTIDA
3735-21,METRÔ ARTUR ALVIM – JD. SÃO JOÃO,METRÔ ARTUR ALVIM – JD. SÃO JOÃO,MANTIDA
3735-41,JD. SÃO JOSÉ – METRÔ ARTUR ALVIM,JD. SÃO JOSÉ – METRÔ ARTUR ALVIM,MANTIDA
3736-10,JD. NSA. SRA. DO CARMO – METRÔ ARTUR ALVIM,JD. NSA. SRA. DO CARMO – METRÔ ARTUR ALVIM,MANTIDA
3737-10,SHOP. ARICANDUVA – METRÔ GUILHERMINA/ESPERANÇA,SHOP. ARICANDUVA – METRÔ GUILHERMINA/ESPERANÇA,MANTIDA
3737-21,JD. STA. MARIA – METRÔ GUILHERMINA/ESPERANÇA,,EXTINTA
3737-31,METRÔ GUILHERMINA/ESPERANÇA  – CIRCULAR,METRÔ GUILHERMINA/ESPERANÇA  – CIRCULAR,MANTIDA
3738-10,COHAB JUSCELINO – METRÔ ITAQUERA,COHAB JUSCELINO – METRÔ ITAQUERA,MANTIDA
3739-10,RECANTO VERDE SOL – METRÔ ITAQUERA,RECANTO VERDE SOL – METRÔ ITAQUERA,MANTIDA
3739-31,SÃO TEODORO – CENTRO DE ITAQUERA,SÃO TEODORO – CENTRO DE ITAQUERA,MANTIDA
373L-10,JD. LIMOEIRO – METRÔ ITAQUERA,JD. LIMOEIRO – METRÔ ITAQUERA,MANTIDA
373M-10,JD. GUAIRACÁ – SHOP. METRÔ TATUAPÉ,JD. GUAIRACÁ – TERM. VL. PRUDENTE,CORTADA
373T-10,JD. ITÁPOLIS – METRÔ BRESSER,TERM. VL. PRUDENTE – METRÔ BRESSER,CORTADA
373T-10,JD. ITÁPOLIS – METRÔ BRESSER,JD. ITAPOLIS – TERM. SACOMÃ,CORTADA
3741-10,CPTM D. BOSCO – METRÔ ITAQUERA,CPTM D. BOSCO – METRÔ ITAQUERA,MANTIDA
3742-10,JD. LARANJEIRA – METRÔ ITAQUERA,JD. LARANJEIRA – METRÔ ITAQUERA,MANTIDA
3743-10,SÃO MATEUS – METRÔ ITAQUERA,SÃO MATEUS – METRÔ ITAQUERA,MANTIDA
3745-10,JD. IMPERADOR – TATUAPÉ,JD. IMPERADOR – TATUAPÉ,MANTIDA
3746-10,JD. IMPERADOR – METRÔ BELÉM,,EXTINTA
3746-31,JD. IMPERADOR – METRÔ BELÉM,,EXTINTA
3749-10,GUAIANAZES – TERM. VL. CARRÃO,GUAIANAZES – METRÔ ITAQUERA,CORTADA
374M-10,CPTM ERMELINO MATARAZZO – METRÔ ITAQUERA,CPTM ERMELINO MATARAZZO – METRÔ ITAQUERA,MANTIDA
374V-10,JD. SANTANA – METRÔ ITAQUERA,VL. JACUÍ – METRÔ ITAQUERA,CORTADA
3751-10,COHAB PRESTES MAIA – METRÔ ITAQUERA,COHAB PRESTES MAIA – METRÔ ITAQUERA,MANTIDA
3751-21,COHAB PRESTES MAIA – METRÔ ITAQUERA,,EXTINTA
3754-10,INÁCIO MONTEIRO – METRÔ ITAQUERA,INÁCIO MONTEIRO – METRÔ ITAQUERA,MANTIDA
3756-10,BARRO BRANCO – METRÔ ITAQUERA,BARRO BRANCO – METRÔ ITAQUERA,MANTIDA
3761-10,3A. DIVISÃO – METRÔ CARRÃO,3A. DIVISÃO – TERM. VL. CARRÃO,MANTIDA
3762-10,JD. IVA – METRÔ TATUAPÉ,JD. IVA – METRÔ TATUAPÉ,MANTIDA
3763-10,TERM. VL. CARRÃO – METRÔ TATUAPÉ,TERM. VL. CARRÃO – METRÔ TATUAPÉ,MANTIDA
3766-10,COHAB II – METRÔ ITAQUERA,COHAB II – METRÔ ITAQUERA,MANTIDA
3768-10,VL. YOLANDA – CPTM JOSÉ BONIFÁCIO,VL. YOLANDA – CPTM JOSÉ BONIFÁCIO,MANTIDA
3773-10,RES. STA. BÁRBARA – METRÔ CARRÃO,RES. STA. BÁRBARA – TERM. SAPOPEMBA,CORTADA
3778-10,JD. STA. TEREZINHA – METRÔ CARRÃO,JD. STA. TEREZINHA – TERM. VL. CARRÃO,MANTIDA
3778-10,JD. STA. TEREZINHA – METRÔ CARRÃO,JD. STA. TEREZINHA – METRÔ CARRÃO,MANTIDA
3785-10,COHAB BARRO BRANCO – METRÔ ITAQUERA,TERM. CID. TIRADENTES – METRÔ ITAQUERA,CORTADA
3787-10,CID. TIRADENTES – METRÔ ITAQUERA,,EXTINTA
3789-10,CID. TIRADENTES – METRÔ ITAQUERA,CID. TIRADENTES – TERM. CID. TIRADENTES,CORTADA
3791-10,SHOP. ARICANDUVA – METRÔ ARTUR ALVIM,SHOP. ARICANDUVA – METRÔ ARTUR ALVIM,MANTIDA
3795-10,JD. SÃO CARLOS – METRÔ ITAQUERA,JD. SÃO CARLOS – METRÔ ITAQUERA,MANTIDA
3796-10,GLEBA DO PESSEGO – METRÔ ITAQUERA,GLEBA DO PESSEGO – METRÔ ITAQUERA,MANTIDA
3901-10,JD. DANFER – METRÔ PENHA,JD. DANFER – METRÔ PENHA,MANTIDA
3902-10,CPTM JD. ROMANO – CPTM GUAIANAZES,CPTM JD. ROMANO – CPTM GUAIANAZES,MANTIDA
3903-10,JD. VL. NOVA – PENHA,VL. ARAGUAIA – METRÔ PENHA,CORTADA
3903-10,JD. VL. NOVA – PENHA,JD. VL. NOVA – PENHA,MANTIDA
"0,000000039",TERM. PENHA – TERM. PQ. D. PEDRO II,TERM. PENHA – TERM. PQ. D. PEDRO II,MANTIDA
4001-10,ITAQUERA – TERM. VL. CARRÃO,ITAQUERA – TERM. VL. CARRÃO,MANTIDA
4002-10,GUAIANAZES – TERM. VL. CARRÃO,GUAIANAZES – TERM. VL. CARRÃO,MANTIDA
4003-10,INÁCIO MONTEIRO – E.T. ITAQUERA,INÁCIO MONTEIRO – E.T. ITAQUERA,MANTIDA
4004-10,TERM. CID. TIRADENTES – BARRO BRANCO,TERM. CID. TIRADENTES – BARRO BRANCO,MANTIDA
4005-10,TERM. CID. TIRADENTES – BARRO BRANCO,TERM. CID. TIRADENTES – BARRO BRANCO,MANTIDA
4006-10,JD. NOVA VITÓRIA – CIRCULAR,JD. NOVA VITÓRIA – CIRCULAR,MANTIDA
4006-21,JD. NOVA VITÓRIA – CIRCULAR,JD. NOVA VITÓRIA – CIRCULAR,MANTIDA
4007-10,COHAB JUSCELINO – TERM. VL. CARRÃO,COHAB JUSCELINO – TERM. VL. CARRÃO,MANTIDA
4008-10,JD. CIBELE – TERM. VL. CARRÃO,JD. CIBELE – TERM. VL. CARRÃO,MANTIDA
4010-10,JD. NSA. SRA. DO CARMO – TERM. VL. CARRÃO,JD. NSA. SRA. DO CARMO – TERM. VL. CARRÃO,MANTIDA
4011-10,JD. LIMOEIRO – TERM. SÃO MATEUS,JD. LIMOEIRO – TERM. SÃO MATEUS,MANTIDA
4012-10,JD. IGUATEMI – TERM. SÃO MATEUS,JD. IGUATEMI – SÃO MATEUS,MANTIDA
4013-10,JD. STO. ANDRÉ – TERM. SÃO MATEUS,JD. STO. ANDRÉ – TERM. SÃO MATEUS,MANTIDA
4014-10,JD. VL. CARRÃO – TERM. VL. CARRÃO,JD. VL. CARRÃO – TERM. VL. CARRÃO,MANTIDA
4015-10,TERM. SÃO MATEUS – JD. RODOLFO PIRANI,TERM. SÃO MATEUS – JD. RODOLFO PIRANI,MANTIDA
4016-10,TERM. SÃO MATEUS – JD. RODOLFO PIRANI,TERM. SÃO MATEUS – JD. RODOLFO PIRANI,MANTIDA
4017-10,VL. YOLANDA – METALÚRGICOS,VL. YOLANDA – METALÚRGICOS,MANTIDA
4018-10,METALÚRGICOS – TERM. SÃO MATEUS,METALÚRGICOS – TERM. SÃO MATEUS,MANTIDA
4024-10,COHAB FAZENDA DO CARMO – E.T. ITAQUERA,COHAB FAZENDA DO CARMO – E.T. ITAQUERA,MANTIDA
4025-10,VL. CALIFÓRNIA – METRÔ TATUAPÉ,VL. CALIFÓRNIA – METRÔ TATUAPÉ,MANTIDA
4027-10,HOSP. SÃO MATEUS – JD. STO. ANDRÉ,HOSP. SÃO MATEUS – JD. STO. ANDRÉ,MANTIDA
4027-41,MORRO DO CRUZEIRO – SÃO MATEUS,MORRO DO CRUZEIRO – HOSP. SÃO MATEUS,CORTADA
4028-10,HOSP. SÃO MATEUS – DIV. DE MAUÁ,HOSP. SÃO MATEUS – DIV. DE MAUÁ,MANTIDA
4029-10,SÃO MATEUS – VL. PRUDENTE,,EXTINTA
4030-10,FAZENDA DA JUTA – SHOP. ARICANDUVA,FAZENDA DA JUTA – SÃO MATEUS,CORTADA
4031-10,PQ. STA. MADALENA – METRÔ TAMANDUATEÍ,PQ. STA. MADALENA – METRÔ TAMANDUATEÍ,MANTIDA
4032-10,VL. DAS MERCÊS – OBJETIVO UNIP,VL. DAS MERCÊS – METRÔ STA. CRUZ,CORTADA
4033-10,JD. GUAIRACÁ – NOVA CONQUISTA,JD. GUAIRACÁ – TERM. SAPOPEMBA,CORTADA
4033-10,JD. GUAIRACÁ – NOVA CONQUISTA,NOVA CONQUISTA – TERM. SAPOPEMBA,CORTADA
403A-10,CPTM JOSÉ BONIFÁCIO – TERM. PENHA,CPTM JOSÉ BONIFÁCIO – TERM. PENHA,MANTIDA
4051-10,JD. SÃO PAULO – CPTM GUAIANAZES,CPTM GUAIANAZES – VL. SOLANGE,CORTADA
4051-10,JD. SÃO PAULO – CPTM GUAIANAZES,JD. SÃO PAULO – CPTM GUAIANAZES,MANTIDA
4052-10,CPTM GUAIANAZES – METRÔ ITAQUERA,,EXTINTA
4053-10,GUAIANAZES – CPTM JOSÉ BONIFÁCIO,GUAIANAZES- CPTM JOSÉ BONIFÁCIO,MANTIDA
4055-10,CPTM GUAIANAZES – VL. SOLANGE,,EXTINTA
4056-10,PQ. BOA ESPERANÇA – TERM. SÃO MATEUS,PQ. BOA ESPERANÇA – TERM. SÃO MATEUS,MANTIDA
407A-10,SHOP. ARICANDUVA – LGO. DA CONCÓRDIA,SHOP. ARICANDUVA – LGO. DA CONCÓRDIA,MANTIDA
"4,07E-08",JD. STO. ANDRÉ – METRÔ CARRÃO,JD. STO. ANDRÉ – METRÔ CARRÃO,MANTIDA
407F-10,TERM. SÃO MATEUS – METRÔ BELÉM,TERM. SÃO MATEUS – METRÔ BELÉM,MANTIDA
407G-10,JD. NOVA VITÓRIA – METRÔ CARRÃO,JD. NOVA VITÓRIA – METRÔ CARRÃO,MANTIDA
407H-10,JD. SÃO FRANCISCO – METRÔ ITAQUERA,JD. SÃO FRANCISCO – METRÔ ITAQUERA,MANTIDA
407I-10,CONJ. MANOEL DA NÓBREGA – METRÔ BRESSER,CONJ. MANOEL DA NÓBREGA – TERM. VL. CARRÃO,MANTIDA
407J-10,JD. SOARES – METRÔ TATUAPÉ,JD. SOARES – METRÔ TATUAPÉ,MANTIDA
407K-10,TERM. SÃO MATEUS – METRÔ CARRÃO,TERM. SÃO MATEUS – METRÔ CARRÃO,MANTIDA
407L-10,BARRO BRANCO – METRÔ GUILHERMINA/ESPERANÇA,BARRO BRANCO – METRÔ GUILHERMINA/ESPERANÇA,MANTIDA
407M-10,VL. MONUMENTO – METRÔ VL. MARIANA,VL. MONUMENTO – METRÔ VL. MARIANA,MANTIDA
407N-10,TERM. CID. TIRADENTES – METRÔ PENHA,TERM. CID. TIRADENTES – METRÔ PENHA,MANTIDA
407N-21,JD. ROSELI – METRÔ PENHA,JD. ROSELI – METRÔ PENHA,MANTIDA
407P-10,TERM. CID. TIRADENTES – METRÔ TATUAPÉ,TERM. CID. TIRADENTES – METRÔ TATUAPÉ,MANTIDA
407R-10,TERM. VL. CARRÃO – METRÔ BELÉM,TERM. VL. CARRÃO – METRÔ BELÉM,MANTIDA
407T-10,JD. REDIL – METRÔ ITAQUERA,JD. REDIL – METRÔ ITAQUERA,MANTIDA
407W-10,JD. IV CENTENÁRIO – METRÔ CARRÃO,JD. IV CENTENÁRIO – METRÔ CARRÃO,MANTIDA
407Y-10,PQ. SAVOY CITY – METRÔ VL. PRUDENTE,PQ. SAVOY CITY – TERM. VL. PRUDENTE,MANTIDA
4085-10,COHAB FAZENDA DO CARMO – METRÔ ITAQUERA,COHAB FAZENDA DO CARMO – METRÔ ITAQUERA,MANTIDA
4086-10,TERM. CID. TIRADENTES – CIRCULAR,TERM. CID. TIRADENTES – CIRCULAR,MANTIDA
408A-10,MACHADO DE ASSIS – CARDOSO DE ALMEIDA,MACHADO DE ASSIS – CARDOSO DE ALMEIDA,MANTIDA
4092-10,TERM. CID. TIRADENTES – SETOR IIB,TERM. CID. TIRADENTES – SETOR IIB,MANTIDA
4093-10,CID. TIRADENTES – TERM. CID. TIRADENTES,,EXTINTA
4111-10,VL. MONUMENTO – PÇA. DA REPÚBLICA,VL. MONUMENTO – TERM. PRINC. ISABEL,CORTADA
4112-10,STA. MARGARIDA MARIA – PÇA. DA REPÚBLICA,STA. MARGARIDA MARIA – PÇA. DA REPÚBLICA,MANTIDA
4113-10,GENTIL DE MOURA – PÇA. DA REPÚBLICA,GENTIL DE MOURA – PÇA. DA REPÚBLICA,MANTIDA
4114-10,VL. GUMERCINDO – TERM. PQ. D. PEDRO II,,EXTINTA
4114-31,VL. GUMERCINDO – TERM. PQ. D. PEDRO II,VL. GUMERCINDO – TERM. PQ. D. PEDRO II,MANTIDA
4115-10,SHOP. PLAZA SUL – PÇA. DA REPÚBLICA,SHOP. PLAZA SUL – TERM. AMARAL GURGEL,CORTADA
414P-10,VL. INDUSTRIAL – TERM. NORTE METRÔ CARRÃO,VL. INDUSTRIAL – TERM. NORTE METRÔ CARRÃO,MANTIDA
4210-10,TERM. CID. TIRADENTES – TERM. PQ. D. PEDRO II,TERM. CID. TIRADENTES – TERM. PQ. D. PEDRO II,MANTIDA
4221-10,JD. PLANALTO – TERM. PQ. D. PEDRO II,JD. PLANALTO – TERM. VL. PRUDENTE,CORTADA
4222-10,PQ. STA. MADALENA – MOOCA,PQ. STA. MADALENA – TERM. VL. PRUDENTE,CORTADA
"4,25E-08",JD. ESTER – TERM. SAPOPEMBA,JD. ESTER – TERM. SAPOPEMBA,MANTIDA
4284-10,VL. CALIFÓRNIA – VL. PRUDENTE,VL. CALIFÓRNIA – VL. PRUDENTE,MANTIDA
